"Congress" "states_served" "is_slaveholder" "count"
"445" 18 "NY" "false" 24
"446" 18 "NY" "true" 10
"447" 18 "NY" "unknown" 4
"448" 18 "NY,LA" "true" 1
"449" 18 "OH" "false" 12
"450" 18 "OH" "unknown" 4
"451" 18 "PA" "false" 21
"452" 18 "PA" "true" 4
"453" 18 "PA" "unknown" 5
"454" 18 "RI" "false" 2
"455" 18 "RI" "true" 1
"456" 18 "RI" "unknown" 1
"457" 18 "SC" "true" 11
"458" 18 "TN" "true" 8
"459" 18 "TN" "unknown" 2
"460" 18 "TN,TX" "true" 1
"461" 18 "VA" "false" 1
"462" 18 "VA" "true" 22
"463" 18 "VA" "unknown" 3
"464" 18 "VA,MS" "true" 1
"465" 18 "VT" "false" 5
"466" 18 "VT" "true" 1
"467" 18 "VT" "unknown" 2
"468" 19 "AL" "true" 3
"469" 19 "AL" "unknown" 2
"470" 19 "AR" "unknown" 1
"471" 19 "CT" "false" 5
"472" 19 "CT" "true" 1
"473" 19 "CT" "unknown" 2
"474" 19 "DE" "true" 5
"475" 19 "FL" "true" 1
"476" 19 "GA" "true" 9
"477" 19 "IL" "true" 1
"478" 19 "IL" "unknown" 1
"479" 19 "IN" "false" 2
"480" 19 "IN" "unknown" 3
"481" 19 "IN,IL" "true" 1
"482" 19 "KY" "true" 16
"483" 19 "KY" "unknown" 1
"484" 19 "LA" "true" 4
"485" 19 "MA" "false" 12
"486" 19 "MA" "unknown" 3
"487" 19 "MA,ME" "false" 2
"488" 19 "MA,ME" "unknown" 1
"489" 19 "MD" "true" 10
"490" 19 "MD" "unknown" 3
"491" 19 "ME" "false" 7
"492" 19 "MI" "false" 1
"493" 19 "MO" "true" 2
"494" 19 "MO" "unknown" 1
"495" 19 "MS" "true" 2
"496" 19 "MS" "unknown" 3
"497" 19 "NC" "true" 15
"498" 19 "NC" "unknown" 1
"499" 19 "NC,AL" "true" 2
"500" 19 "NH" "false" 5
"501" 19 "NH" "unknown" 3
"502" 19 "NH,MA" "false" 1
"503" 19 "NJ" "unknown" 9
"504" 19 "NY" "false" 22
"505" 19 "NY" "true" 9
"506" 19 "NY" "unknown" 6
"507" 19 "NY,LA" "true" 1
"508" 19 "OH" "false" 14
"509" 19 "OH" "true" 1
"510" 19 "OH" "unknown" 2
"511" 19 "PA" "false" 24
"512" 19 "PA" "true" 3
"513" 19 "PA" "unknown" 6
"514" 19 "RI" "false" 4
"515" 19 "RI" "true" 1
"516" 19 "SC" "true" 14
"517" 19 "TN" "true" 10
"518" 19 "TN" "unknown" 1
"519" 19 "TN,TX" "true" 1
"520" 19 "VA" "true" 22
"521" 19 "VA" "unknown" 3
"522" 19 "VA,MS" "true" 1
"523" 19 "VT" "false" 6
"524" 19 "VT" "unknown" 1
"525" 2 "CT" "false" 3
"526" 2 "CT" "true" 5
"527" 2 "DE" "true" 3
"528" 2 "GA" "false" 2
"529" 2 "GA" "true" 3
"530" 2 "GA" "unknown" 1
"531" 2 "KY" "true" 3
"532" 2 "MA" "false" 8
"533" 2 "MA" "true" 1
"534" 2 "MA" "unknown" 1
"535" 2 "MD" "true" 8
"536" 2 "MD" "unknown" 3
"537" 2 "NC" "false" 1
"538" 2 "NC" "true" 6
"539" 2 "NH" "false" 5
"540" 2 "NJ" "true" 2
"541" 2 "NJ" "unknown" 4
"542" 2 "NY" "true" 7
"543" 2 "NY" "unknown" 1
"544" 2 "PA" "false" 4
"545" 2 "PA" "true" 4
"546" 2 "PA,MD" "true" 1
"547" 2 "RI" "false" 3
"548" 2 "SC" "true" 5
"549" 2 "SC" "unknown" 2
"550" 2 "VA" "true" 11
"551" 2 "VA" "unknown" 1
"552" 2 "VA,KY" "true" 1
"553" 2 "VT" "false" 4
"554" 20 "AL" "true" 3
"555" 20 "AL" "unknown" 1
"556" 20 "AR" "true" 1
"557" 20 "AR" "unknown" 1
"558" 20 "CT" "false" 7
"559" 20 "CT" "unknown" 1
"560" 20 "DE" "true" 3
"561" 20 "FL" "true" 1
"562" 20 "GA" "true" 10
"563" 20 "GA" "unknown" 1
"564" 20 "IL" "false" 1
"565" 20 "IL" "true" 1
"566" 20 "IN" "false" 2
"567" 20 "IN" "unknown" 3
"568" 20 "IN,IL" "true" 1
"569" 20 "KY" "true" 16
"570" 20 "KY" "unknown" 1
"571" 20 "LA" "true" 4
"572" 20 "MA" "false" 13
"573" 20 "MA" "unknown" 1
"574" 20 "MA,ME" "false" 3
"575" 20 "MD" "true" 9
"576" 20 "MD" "unknown" 2
"577" 20 "ME" "false" 7
